feed,title,long_url,short_url
GN:T:WP,A GE spinoff's stock is surging as it positions itself as the 'supermarket' for AI energy demand - Yahoo Finance,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQa1NvVGJ6amFkcXlQWklRUThDRWNHX2EzeTdKcWdrVERETjU3OHZrMlRIWU5yRG1iSDNzVW96cndfM3RPTS1KZUxRaEk5dGJ4RXVsQURMb05NM1liSTl0M0VFR2lNWkxqMUhvMzdZNkhzOHBPUWxBUExQTHZDU0otSFo5UWRsS0dKdTAtRVZ5UEFUckVJeFFnUUs2djFHWUNYUTBPUzJ2Q2VXcTVQdWhJNkVkUmlDaHhtNGRGRUFPWk1zS0xWU1VsMTluUWdIT1daNW0tbWhR?oc=5,https://da.gd/4SICN
GN:T:WP,"With offshore wind on hold, fishermen want a more rigorous evaluation - Daily Astorian",https://news.google.com/rss/articles/CBMi8AFBVV95cUxQWTM3VHRrNmUyWWlCRDgtU29wNDhSdmRodjBPeC1NbEZVengzWE5tODZNS1RMa2xnZUhEdjJLVFk3M201LWRkTTJscjNJV0N0VHB2TTRfWWhlSG9zTG5JOTV4M3Bja3ZsTU5YNXRWdVVEVG1acnNSaWV6Zm5NdkxiOHhvcjc1SDZWa21xNVNveGpmWGNZNnpKTkhNcmI2eE9YVEhONzhXTGRqRzZDV2tqM0szUTBLSmMtWjhxeE1NU1ZVWFNkQVRmSDVQa0ZrM1JyZG9NT2lJVjBQX1RSTFVEbDB5WS11bXZUMUpyUG54cy0?oc=5,https://da.gd/NblZ8
GN:T:WP,Price dispute begins in the photovoltaic (PV) industry supply chain - REVE,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQRlphR2tibVFsYXBDQ2gyUXAzVGVxYlFHMTZ6Si1JVTFrbGNTeFY2aWpSdWFaNzBHbzA1MTRWZkJPc2dPenloaFdBWDl4MFlwOHdGaThZT3ZYcGQ2WEJOM0JPN2RTWmpNa0JaVnRXY2hBYWRBZGR6NEt4eWs0MVFSbjF4c2NFRWNGSzhibllMYVRfenpTeldoVHo5c2NTWlpaV2ZwUHZiWjk?oc=5,https://da.gd/imng86
GN:T:WP,Commentary: Desperate for good climate change news? Consider pace of clean energy growth - Walla Walla Union-Bulletin,https://news.google.com/rss/articles/CBMimwJBVV95cUxOZUxuanVfb053Q0FuVk9xWjFuVm56TzZ2aUNJNnVTVmtKN3J5LXFsRVhVRGFBck4zbVU3MndodmEwSDVvS0lVaGNvanExNGxWYXg5ZEJRbExBeFZVRmFYVWIxeWFKM1k2U1FuQm16MFBDS2w2dGgyUGpGX0NlbkdJRjJIT2pVSmx6UTRtV2JIR2tEWU9UX2tzNmlUVXBPclNzZ2poRTRMSjdEMzlXR3lna0hlYTBsX2hlaTB6WjZJLVFoT0JGYWxpaklPcTNSaDUzWWE5eldFVnk2eGExWTk3M0xjc252Y1BfNW9kejY4bFIzdjhRclphQzQ1MHlfQ01Xbl9kWXF0RVpYdDh4dmEtN2F6cGpTaEt3ZkI4?oc=5,https://da.gd/0NVWe
GN:T:WP,"The U.S.'s Concern Over Growing Threat From China Increases, Including Threat To Texas' Power Grid - The Dallas Express",https://news.google.com/rss/articles/CBMiywFBVV95cUxNUXktS3NoUkVuSEhfZ2pZME94ZHh3TWFIZnA4aTVCWmJNM19YVkxzQ0wwb2NRRmFwMENHMGs1dGljS0phaWlucmVjTkMyOWlHb0ZwbTF2ZkRDVGZmNGtybkFZSUdqYzNzSEx5VTVkbnVUV1R0T2o3eUJ0cTg5UUVOcDlPU01qWndmaTBtWmY5c3JiSGVqN2xCWm81R3VvZEdXRzBpR2J2RXhHWjV4VEkxLXJjd1BMei1NVDI1SjRpcm9fd3NXbE1EVl9sZw?oc=5,https://da.gd/kCJNzV
GN:T:WP,Tax Fraud Featured Articles - Thumbwind - Finding Fun In Michigan,https://news.google.com/rss/articles/CBMiTEFVX3lxTE1KLUxieWRobVhQTDg0X19XakJKWExBdndFS1ZPbTlIa1MxN3FCSDh1STNRVC13djhlNjdXeVVrTlVBcGhqc2hrV2cydHo?oc=5,https://da.gd/RFQTqQ
GN:T:WP,China Must Reduce Emissions by 30% by 2035 According to CREA - Energynews,https://news.google.com/rss/articles/CBMijwFBVV95cUxNVEUyOE5yM3J1RFdwQnY4LWxyeGp2aWJGdUFIRVNoWnN1eFNpU0JFMng5VXRhazM4MzNDME5FNk8zamVPWlVJUUNGdEx3M1lOVkE5WmFybWQ0Z3JHWUpaVkpFajcxTXNtdFZiT0RjTTBONHZVSGs4ZTZ4OUNEa21IMWVONExiMi0wWGJuSDg5NA?oc=5,https://da.gd/J5JTL
GN:T:WP,"America won the Space Race, but has lost the decisive one: China has swept us off our feet with this energy - ECOticias",https://news.google.com/rss/articles/CBMia0FVX3lxTE1yNTNlR1FvYnVyeHl4N1o5ZDdwNE1rRjJmS1JVcjNLOVREZUlqQWI0cENvYnlvdjBMeVFfY2g2QnlaUUZ4dXloeFJnS1pqbFVSY3lUdWhmSVJ0VFhHZlhsNElEWUVlOUtIMkxv?oc=5,https://da.gd/BrDAn
GN:T:WP,The coal era is finally over in the UK. But how long until we enter the clean era? - The Independent,https://news.google.com/rss/articles/CBMihgFBVV95cUxNQm8yQzFiYWtCbUhtNGhMY2JhSlIzQnI4eGZwMndYZlBLMUliVEd5QVRhSEhIdDd1LXNSbDgzajBOSzVYRnVvdE10TzZ0MXluSThWNEJoODZYSUlFU3VoNVNyVnZISHZwTmdXcG5DeVFTLVpzLXFDNnplVUlGa3hMelJuVnpXdw?oc=5,https://da.gd/VkAmFg
GN:T:WP,"Purvah Green Power to Acquire Bhojraj Renewables, to Develop 450 MW RE Projects - Asia Pacific - Energetica India",https://news.google.com/rss/articles/CBMitwFBVV95cUxPMzJvOUpPekNLUUh1cklSdlVfSUdwQm1EMzE2eHExaVFWOUgxWm1DS3ZzbUZueGZJUmdxUTdJdTV6UHY2WnRIVEtzdEJBUGV4bF9XR21vbVZSeWg3TlBjaVp1UFpoZHVvUWwtY1ZuYlVtY3B1cjVYUmhubzlWV2VLVFhhRzdHbGt2TUJ4TnlIZUkzeVd1V3Vsa1A5eXZzT05lVWg4YWhXcGJSUUMzR2I0OGdsd3VwaU0?oc=5,https://da.gd/s23AEe
GN:T:WP,Envision Energy India Unveils Advanced EN 182/5 MW Onshore Platform at Wind Energy Hamburg 2024 - Knn India,https://news.google.com/rss/articles/CBMi2gFBVV95cUxPbjdxQmxZU3JZMXNfUy1oX1dabVIzb3EwRTBZSE9TM2F3ODBiN0dDMEI0ZUhkNUJnZTRLcUwzTWxuamhQUjhmMF9tNGhQQmZ2OUE3QzNCVk95TzhNck1oUFJQZzJxLWk2eDYtSW9YMlp6dmpYRGdqNkFuamJXeTJNbVpJenp4UVBpcTRJUjZYM0FLa1U1SmlDT29PRHRqZy1Dcmp1bE9sMjBPb1RDazRPV3BPcTRKN3NzN3NCRzlUTkYzZ0RLdzByNmhVNDJhNmloZGZNZVduYmNuZw?oc=5,https://da.gd/NFEx
GN:T:WP,UK offshore wind industry ready to advise Philippines - BusinessWorld Online,https://news.google.com/rss/articles/CBMirgFBVV95cUxQRENiVUt1dk9tR2U2Nzhlc2twelFjRzU4QmE1S3U5dVpHUHhDRmlnSlFLUVlhMVdUYlBFM3JyZ1dZNVVZSTJ1WjNpd3J3SndTUEVkaXNYQkkwS2NORFhhQmFPMk1maVZ2c3pWaXZSd1ljZjBlelRGUVAyNnljd3V1RkIwQ21LTUNqZm5oMlNsQUFrNnY1bEd3SlUxT1hJa0kzdWE3WndzenY2VURoMlE?oc=5,https://da.gd/SANkIe
