feed,title,long_url,short_url
GN:S:C,Israeli private detective targeted climate activists in hacking campaign - NPR,https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMy8xMS8xNi8xMjEzMzIwNDk2L2F6YXJpLWlzcmFlbGktcHJpdmF0ZS1kZXRlY3RpdmUtaGFja2luZy1jbGltYXRlLWNoYW5nZS1hY3RpdmlzdHMtZXh4b25tb2JpbNIBAA?oc=5,https://da.gd/PK5T4
GN:S:C,Edelman survey finds widespread belief that climate change poses imminent threat - CNN,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmNubi5jb20vdmlkZW9zL3dvcmxkLzIwMjMvMTEvMTYvZXhwLWNsaW1hdGUtY2hhbmdlLXN1cnZleS1pbnR2LTExMTYzcHNlZzItY25uaS13b3JsZC5jbm7SAQA?oc=5,https://da.gd/Najqc
GN:S:C,National Climate Assessment Finds West Virginia Lags Behind - Governing,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmdvdmVybmluZy5jb20vY2xpbWF0ZS9uYXRpb25hbC1jbGltYXRlLWFzc2Vzc21lbnQtZmluZHMtd2VzdC12aXJnaW5pYS1sYWdzLWJlaGluZNIBAA?oc=5,https://da.gd/waRkBq
GN:S:C,National assessment shows climate action not keeping pace with ... - UMN News,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vdHdpbi1jaXRpZXMudW1uLmVkdS9uZXdzLWV2ZW50cy9uYXRpb25hbC1hc3Nlc3NtZW50LXNob3dzLWNsaW1hdGUtYWN0aW9uLW5vdC1rZWVwaW5nLXBhY2UtY2xpbWF0ZS1yaXNrc9IBAA?oc=5,https://da.gd/0IbvR
GN:S:C,UK research finds public is climate complacent - Phys,https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDIzLTExLXVrLWNsaW1hdGUtY29tcGxhY2VudC5odG1s0gE3aHR0cHM6Ly9waHlzLm9yZy9uZXdzLzIwMjMtMTEtdWstY2xpbWF0ZS1jb21wbGFjZW50LmFtcA?oc=5,https://da.gd/Eu3gg
GN:S:C,New climate report shows hazards of drought to human health in the ... - KUER 90,https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5rdWVyLm9yZy9oZWFsdGgtc2NpZW5jZS1lbnZpcm9ubWVudC8yMDIzLTExLTE2L25ldy1jbGltYXRlLXJlcG9ydC1zaG93cy1oYXphcmRzLW9mLWRyb3VnaHQtdG8taHVtYW4taGVhbHRoLWluLXRoZS1zb3V0aHdlc3TSAZEBaHR0cHM6Ly93d3cua3Vlci5vcmcvaGVhbHRoLXNjaWVuY2UtZW52aXJvbm1lbnQvMjAyMy0xMS0xNi9uZXctY2xpbWF0ZS1yZXBvcnQtc2hvd3MtaGF6YXJkcy1vZi1kcm91Z2h0LXRvLWh1bWFuLWhlYWx0aC1pbi10aGUtc291dGh3ZXN0P19hbXA9dHJ1ZQ?oc=5,https://da.gd/Wz7BnX
GN:S:C,Democrats reintroduce 'Forward on Climate' legislation - Spectrum News 1,https://news.google.com/rss/articles/CBMidWh0dHBzOi8vc3BlY3RydW1uZXdzMS5jb20vd2kvbWFkaXNvbi9uZXdzLzIwMjMvMTEvMTYvd2lzY29uc2luLWRlbW9jcmF0cy1yZWludHJvZHVjZS0tZm9yd2FyZC1vbi1jbGltYXRlLS1sZWdpc2xhdGlvbtIBAA?oc=5,https://da.gd/GkYr5
GN:S:C,Will new science textbooks in Texas accurately depict climate ... - KUT,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lmt1dC5vcmcvZWR1Y2F0aW9uLzIwMjMtMTEtMTYvY2xpbWF0ZS1jaGFuZ2UtdGV4YXMtc2NpZW5jZS10ZXh0Ym9va3PSAQA?oc=5,https://da.gd/TJSsZ
GN:S:C,LAVA Center hosting series of climate change programming - The Recorder,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LnJlY29yZGVyLmNvbS9MQVZBLUNlbnRlci1ob3N0aW5nLXNlcmllcy1vZi1jbGltYXRlLWNoYW5nZS1wcm9ncmFtbWluZy01MzA0NjA5MdIBAA?oc=5,https://da.gd/ZYzS3g
GN:S:C,Why is Colorado off track to miss its first big climate goals? Short ... - Colorado Public Radio,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LmNwci5vcmcvMjAyMy8xMS8xNi9jb2xvcmFkby1jb3VsZC1taXNzLWZpcnN0LWNsaW1hdGUtZ29hbC_SAQA?oc=5,https://da.gd/HVF5Z
GN:S:C,Sailing to school and the daily issues of climate change - BBC,https://news.google.com/rss/articles/CBMiLWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay1zY290bGFuZC02NzQzODA1N9IBMWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay1zY290bGFuZC02NzQzODA1Ny5hbXA?oc=5,https://da.gd/wBG1Dn
GN:S:C,Why some scientists are pressing the UN to prioritize climate 'tipping ... - CBC,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3NjaWVuY2Uvd2hhdC1vbi1lYXJ0aC1jbGltYXRlLXRpcHBpbmctcG9pbnRzLTEuNzAyOTM1NtIBAA?oc=5,https://da.gd/bSNvaR
GN:S:C,Three reasons climate change education is critical for adaptation ... - United Nations Development Programme,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnVuZHAub3JnL2Jsb2cvdGhyZWUtcmVhc29ucy1jbGltYXRlLWNoYW5nZS1lZHVjYXRpb24tY3JpdGljYWwtYWRhcHRhdGlvbi1hbmQtcmVzaWxpZW5jZdIBAA?oc=5,https://da.gd/GifvV
